Index  Filename                                 Sum        Mean      
114    q_pz01.00114_cna_stats.txt               2030       9.3981
115    q_pz01.00115_cna_stats.txt               2030       9.3981
116    q_pz01.00116_cna_stats.txt               2030       9.3981
117    q_pz01.00117_cna_stats.txt               2030       9.3981
118    q_pz01.00118_cna_stats.txt               2030       9.3981
119    q_pz01.00119_cna_stats.txt               2030       9.3981
120    q_pz01.00120_cna_stats.txt               2030       9.3981
121    q_pz01.00121_cna_stats.txt               2030       9.3981
122    q_pz01.00122_cna_stats.txt               2030       9.3981
123    q_pz01.00123_cna_stats.txt               2030       9.3981
124    q_pz01.00124_cna_stats.txt               2030       9.3981
125    q_pz01.00125_cna_stats.txt               2030       9.3981
126    q_pz01.00126_cna_stats.txt               2030       9.3981
127    q_pz01.00127_cna_stats.txt               2030       9.3981
128    q_pz01.00128_cna_stats.txt               2030       9.3981
129    q_pz01.00129_cna_stats.txt               2030       9.3981
130    q_pz01.00130_cna_stats.txt               2030       9.3981
131    q_pz01.00131_cna_stats.txt               2030       9.3981
132    q_pz01.00132_cna_stats.txt               2034       9.4167
133    q_pz01.00133_cna_stats.txt               2034       9.4167
134    q_pz01.00134_cna_stats.txt               2026       9.3796
135    q_pz01.00135_cna_stats.txt               2032       9.4074
136    q_pz01.00136_cna_stats.txt               2032       9.4074
137    q_pz01.00137_cna_stats.txt               2034       9.4167
138    q_pz01.00138_cna_stats.txt               2034       9.4167
139    q_pz01.00139_cna_stats.txt               2034       9.4167
140    q_pz01.00140_cna_stats.txt               2034       9.4167
141    q_pz01.00141_cna_stats.txt               2026       9.3796
142    q_pz01.00142_cna_stats.txt               2026       9.3796
143    q_pz01.00143_cna_stats.txt               2026       9.3796
144    q_pz01.00144_cna_stats.txt               2026       9.3796
145    q_pz01.00145_cna_stats.txt               2026       9.3796
146    q_pz01.00146_cna_stats.txt               2026       9.3796
147    q_pz01.00147_cna_stats.txt               2026       9.3796
148    q_pz01.00148_cna_stats.txt               2024       9.3704
149    q_pz01.00149_cna_stats.txt               2026       9.3796
150    q_pz01.00150_cna_stats.txt               2026       9.3796
151    q_pz01.00151_cna_stats.txt               2032       9.4074
152    q_pz01.00152_cna_stats.txt               2026       9.3796
153    q_pz01.00153_cna_stats.txt               2026       9.3796
154    q_pz01.00154_cna_stats.txt               2022       9.3611
155    q_pz01.00155_cna_stats.txt               2020       9.3519
156    q_pz01.00156_cna_stats.txt               2022       9.3611
157    q_pz01.00157_cna_stats.txt               2026       9.3796
158    q_pz01.00158_cna_stats.txt               2026       9.3796
159    q_pz01.00159_cna_stats.txt               2026       9.3796
160    q_pz01.00160_cna_stats.txt               2024       9.3704
161    q_pz01.00161_cna_stats.txt               2026       9.3796
162    q_pz01.00162_cna_stats.txt               2024       9.3704
163    q_pz01.00163_cna_stats.txt               2026       9.3796
164    q_pz01.00164_cna_stats.txt               2024       9.3704
165    q_pz01.00165_cna_stats.txt               2024       9.3704
166    q_pz01.00166_cna_stats.txt               2024       9.3704
167    q_pz01.00167_cna_stats.txt               2024       9.3704
168    q_pz01.00168_cna_stats.txt               2024       9.3704
169    q_pz01.00169_cna_stats.txt               2026       9.3796
170    q_pz01.00170_cna_stats.txt               2026       9.3796
171    q_pz01.00171_cna_stats.txt               2026       9.3796
172    q_pz01.00172_cna_stats.txt               2026       9.3796
173    q_pz01.00173_cna_stats.txt               2026       9.3796
174    q_pz01.00174_cna_stats.txt               2026       9.3796
175    q_pz01.00175_cna_stats.txt               2026       9.3796
176    q_pz01.00176_cna_stats.txt               2026       9.3796
177    q_pz01.00177_cna_stats.txt               2026       9.3796
178    q_pz01.00178_cna_stats.txt               2026       9.3796
179    q_pz01.00179_cna_stats.txt               2026       9.3796
180    q_pz01.00180_cna_stats.txt               2026       9.3796
181    q_pz01.00181_cna_stats.txt               2026       9.3796
182    q_pz01.00182_cna_stats.txt               2026       9.3796
183    q_pz01.00183_cna_stats.txt               2026       9.3796
184    q_pz01.00184_cna_stats.txt               2026       9.3796
185    q_pz01.00185_cna_stats.txt               2024       9.3704
186    q_pz01.00186_cna_stats.txt               2022       9.3611
187    q_pz01.00187_cna_stats.txt               2022       9.3611
188    q_pz01.00188_cna_stats.txt               2022       9.3611
189    q_pz01.00189_cna_stats.txt               2030       9.3981
190    q_pz01.00190_cna_stats.txt               2024       9.3704
191    q_pz01.00191_cna_stats.txt               2022       9.3611
192    q_pz01.00192_cna_stats.txt               2030       9.3981
193    q_pz01.00193_cna_stats.txt               2026       9.3796
194    q_pz01.00194_cna_stats.txt               2024       9.3704
195    q_pz01.00195_cna_stats.txt               2028       9.3889
196    q_pz01.00196_cna_stats.txt               2024       9.3704
197    q_pz01.00197_cna_stats.txt               2022       9.3611
198    q_pz01.00198_cna_stats.txt               2022       9.3611
199    q_pz01.00199_cna_stats.txt               2022       9.3611
