Index FileName       ave_abs_press
0       q_pz01.00001    4.477414802315237
1       q_pz01.00002    4.477414814351645
2       q_pz01.00003    4.477414788331851
3       q_pz01.00004    4.477414465759927
4       q_pz01.00005    3.498587745903967
5       q_pz01.00006    4.477414978557507
6       q_pz01.00007    4.47741472467318
7       q_pz01.00008    4.477414636489451
8       q_pz01.00009    4.4983377423181885
9       q_pz01.00010    4.477414805181065
10      q_pz01.00011    4.477410287524689
11      q_pz01.00012    3.7210546253617345
12      q_pz01.00013    4.477414838844685
13      q_pz01.00014    4.477414841068908
14      q_pz01.00015    4.477414921142444
15      q_pz01.00016    4.47741482877358
16      q_pz01.00017    4.477414823724983
17      q_pz01.00018    3.6513022693485375
18      q_pz01.00019    4.4774150274951054
19      q_pz01.00020    4.477414896045466
20      q_pz01.00021    4.477432723496585
21      q_pz01.00022    4.477414950830291
22      q_pz01.00023    4.477417349536085
23      q_pz01.00024    4.477414966023082
24      q_pz01.00025    4.477411790900316
25      q_pz01.00026    3.601558491021104
26      q_pz01.00027    3.4985878690239254
27      q_pz01.00028    3.4985876677906624
28      q_pz01.00029    3.601554532753361
29      q_pz01.00030    4.477414577772528
30      q_pz01.00031    4.477414780121154
31      q_pz01.00032    4.477414888935447
32      q_pz01.00033    3.4985881130168903
33      q_pz01.00034    4.477414695990215
34      q_pz01.00035    4.477414811745918
35      q_pz01.00036    4.4774149177884945
36      q_pz01.00037    4.477414640926286
37      q_pz01.00038    4.477414921696652
38      q_pz01.00039    4.477414903922813
39      q_pz01.00040    3.4985878390147014
40      q_pz01.00041    4.477414732461782
41      q_pz01.00042    4.4774072883000455
42      q_pz01.00043    4.4774147559178665
43      q_pz01.00044    4.477414961455038
44      q_pz01.00045    4.477414902234149
45      q_pz01.00046    4.477414510579389
46      q_pz01.00047    3.6015528682076767
47      q_pz01.00048    4.477414747515183
48      q_pz01.00049    4.477414779138766
49      q_pz01.00050    3.498587992995473
50      q_pz01.00051    3.498587694524296
51      q_pz01.00052    4.477414881402347
52      q_pz01.00053    4.477414722707375
53      q_pz01.00054    4.4774148280828125
54      q_pz01.00055    4.477414795490447
55      q_pz01.00056    4.477414816869545
56      q_pz01.00057    4.477414767127095
57      q_pz01.00058    4.47741484402852
58      q_pz01.00059    4.47741480928054
59      q_pz01.00060    4.477415092924852
60      q_pz01.00061    4.47741504893224
61      q_pz01.00062    4.477414849383779
62      q_pz01.00063    4.477414900219342
63      q_pz01.00064    3.498588062611857
64      q_pz01.00065    4.4774148170617805
65      q_pz01.00066    4.477414884206134
66      q_pz01.00067    4.4774150475465655
67      q_pz01.00068    4.477414837422125
68      q_pz01.00069    4.477414824627941
69      q_pz01.00070    4.477414954563653
70      q_pz01.00071    4.477414834221546
71      q_pz01.00072    4.477426318544696
72      q_pz01.00073    4.477414788714507
73      q_pz01.00074    4.4774147686962245
